"
                Code
            ","
                Title
            ","
                Type
            ","
                Career
            ","
                Units
            "
CSAP-MIN,Climate Science and Policy,Minor,Undergraduate,24
CSAP-MIN,Climate Science and Policy,Minor,Undergraduate,24
CSAP-MIN,Climate Science and Policy,Minor,Undergraduate,24
COPS-MIN,Cognitive Psychology,Minor,Undergraduate,24
COPS-MIN,Cognitive Psychology,Minor,Undergraduate,24
CPOL-MIN,Comparative Politics,Minor,Undergraduate,24
CASD-MIN,"Composition, Arranging and Sound Design",Minor,Undergraduate,24
COMPF-MIN,Computational Foundations,Minor,Undergraduate,24
CSCI-MIN,Computer Science,Minor,Undergraduate,24
CSCI-MIN,Computer Science,Minor,Undergraduate,24
CSFN-MIN,Computer Science Foundations,Minor,Undergraduate,24
EURO-MIN,Contemporary Europe,Minor,Undergraduate,24
CORP-MIN,Corporate Sustainability,Minor,Undergraduate,24
CRIM-MIN,Criminology,Minor,Undergraduate,24
DEMO-MIN,Demography,Minor,Undergraduate,24
DESA-MIN,Design,Minor,Undergraduate,24
DEST-MIN,Development Studies,Minor,Undergraduate,24
DEPS-MIN,Developmental Psychology,Minor,Undergraduate,24
DEPS-MIN,Developmental Psychology,Minor,Undergraduate,24
DIHU-MIN,Digital Humanities,Minor,Undergraduate,24
EMSC-MIN,Earth and Marine Sciences,Minor,Undergraduate,24
EMSC-MIN,Earth and Marine Sciences,Minor,Undergraduate,24
EMET-MIN,Econometrics,Minor,Undergraduate,24
ECHI-MIN,Economic History,Minor,Undergraduate,24
ECST-MIN,Economic Studies,Minor,Undergraduate,24
ELCO-MIN,Electronic and Communication Systems,Minor,Undergraduate,24
ENGS-MIN,Engineering Science,Minor,Undergraduate,24
ENGL-MIN,English,Minor,Undergraduate,24
ENVP-MIN,Environmental Policy,Minor,Undergraduate,24
ENVP-MIN,Environmental Policy,Minor,Undergraduate,24
ENVP-MIN,Environmental Policy,Minor,Undergraduate,24
ENST-MIN,Environmental Studies,Minor,Undergraduate,24
FILM-MIN,Film,Minor,Undergraduate,24
FINM-MIN,Finance,Minor,Undergraduate,24
FORA-MIN,Forensic Anthropology,Minor,Undergraduate,24
FOLI-MIN,Forensic Linguistics,Minor,Undergraduate,24
FSAP-MIN,Forest Science and Policy,Minor,Undergraduate,24
FSAP-MIN,Forest Science and Policy,Minor,Undergraduate,24
FSAP-MIN,Forest Science and Policy,Minor,Undergraduate,24
FREN-MIN,French Language and Culture,Minor,Undergraduate,24
GESX-MIN,Gender and Sexuality,Minor,Undergraduate,24
GEOG-MIN,Geography,Minor,Undergraduate,24
GEOG-MIN,Geography,Minor,Undergraduate,24
GEOG-MIN,Geography,Minor,Undergraduate,24
GERM-MIN,German Language and Culture,Minor,Undergraduate,24
HMAB-MIN,"Health, Medicine and the Body",Minor,Undergraduate,24
HAMS-MIN,Heritage and Museum Studies,Minor,Undergraduate,24
HIND-MIN,Hindi Language,Minor,Undergraduate,24
HINS-MIN,Historical International Security,Minor,Undergraduate,24
HIST-MIN,History,Minor,Undergraduate,24
HECL-MIN,Human Ecology,Minor,Undergraduate,24
HECL-MIN,Human Ecology,Minor,Undergraduate,24
HECL-MIN,Human Ecology,Minor,Undergraduate,24
HUEB-MIN,Human Evolutionary Biology,Minor,Undergraduate,24
HMRT-MIN,Human Rights,Minor,Undergraduate,24
NEWM-MIN,IT in New Media,Minor,Undergraduate,24
INDS-MIN,India Studies,Minor,Undergraduate,24
INDN-MIN,Indonesian Language,Minor,Undergraduate,24
INST-MIN,Indonesian Studies,Minor,Undergraduate,24
INPP-MIN,Innovation and Professional Practice,Minor,Undergraduate,24
INSC-MIN,Interdisciplinary Science,Minor,Undergraduate,24
INSC-MIN,Interdisciplinary Science,Minor,Undergraduate,24
INTB-MIN,International Business,Minor,Undergraduate,24
ICOM-MIN,International Communication,Minor,Undergraduate,24
IREL-MIN,International Relations,Minor,Undergraduate,24
ACCT-MIN,Introductory Accounting,Minor,Undergraduate,24
ITAL-MIN,Italian Language and Culture,Minor,Undergraduate,24
JPNS-MIN,Japanese Language,Minor,Undergraduate,24
JPLN-MIN,Japanese Linguistics,Minor,Undergraduate,24
JPST-MIN,Japanese Studies,Minor,Undergraduate,24
KORE-MIN,Korean Language,Minor,Undergraduate,24
KORS-MIN,Korean Studies,Minor,Undergraduate,24
LATN-MIN,Latin,Minor,Undergraduate,24
LAMS-MIN,Latin American Studies,Minor,Undergraduate,24
LING-MIN,Linguistics,Minor,Undergraduate,24
MGMT-MIN,Management,Minor,Undergraduate,24
MKRS-MIN,Market Research,Minor,Undergraduate,24
MKTG-MIN,Marketing,Minor,Undergraduate,24
MATH-MIN,Mathematics,Minor,Undergraduate,24
MATH-MIN,Mathematics,Minor,Undergraduate,24
MMSY-MIN,Mechanical and Material Systems,Minor,Undergraduate,24
MTSY-MIN,Mechatronic Systems,Minor,Undergraduate,24
MECA-MIN,Middle Eastern and Central Asian Studies,Minor,Undergraduate,24
MNGL-MIN,Mongolian Language,Minor,Undergraduate,24
MUSC-MIN,Music,Minor,Undergraduate,24
MSTC-MIN,Music Technology,Minor,Undergraduate,24
MUSY-MIN,Musicology,Minor,Undergraduate,24
NAST-MIN,Northeast Asian Studies,Minor,Undergraduate,24
PAST-MIN,Pacific Studies,Minor,Undergraduate,24
PECO-MIN,Peace and Conflict Studies,Minor,Undergraduate,24
PERF-MIN,Performance,Minor,Undergraduate,24
PERS-MIN,Persian,Minor,Undergraduate,24
PHIL-MIN,Philosophy,Minor,Undergraduate,24
PHSC-MIN,Philosophy and Science,Minor,Undergraduate,24
PHOT-MIN,Photonic Systems,Minor,Undergraduate,24
PHYS-MIN,Physics,Minor,Undergraduate,24
POLS-MIN,Political Science,Minor,Undergraduate,24
POLT-MIN,Political Theory,Minor,Undergraduate,24
POMU-MIN,Popular Music,Minor,Undergraduate,24
PJMT-MIN,Project Management,Minor,Undergraduate,24
RENE-MIN,Renewable Energy Systems,Minor,Undergraduate,24
RUSS-MIN,Russian,Minor,Undergraduate,24
SANS-MIN,Sanskrit Language,Minor,Undergraduate,24
SCOM-MIN,Science Communication,Minor,Undergraduate,24
SOPS-MIN,Social Psychology,Minor,Undergraduate,24
SOPS-MIN,Social Psychology,Minor,Undergraduate,24
SORM-MIN,Social Research Methods,Minor,Undergraduate,24
SOCY-MIN,Sociology,Minor,Undergraduate,24
LAND-MIN,Soil and Land Management,Minor,Undergraduate,24
LAND-MIN,Soil and Land Management,Minor,Undergraduate,24
LAND-MIN,Soil and Land Management,Minor,Undergraduate,24
SEAS-MIN,Southeast Asian Studies,Minor,Undergraduate,24
SPAH-MIN,Spanish,Minor,Undergraduate,24
SBEC-MIN,"Strategy, Behaviour and Economics",Minor,Undergraduate,24
SUSD-MIN,Sustainable Development,Minor,Undergraduate,24
SUSD-MIN,Sustainable Development,Minor,Undergraduate,24
SUSY-MIN,Sustainable Systems,Minor,Undergraduate,24
TETM-MIN,Tetum Language,Minor,Undergraduate,24
THAI-MIN,Thai Language,Minor,Undergraduate,24
VIET-MIN,Vietnamese Language,Minor,Undergraduate,24
VAPR-MIN,Visual Arts Practice,Minor,Undergraduate,24
WSAP-MIN,Water Science and Policy,Minor,Undergraduate,24
WSAP-MIN,Water Science and Policy,Minor,Undergraduate,24
