"
                    Code
                ","
                    Title
                ","
                    Study As
                ","
                    Career
                ","
                    ATAR
                ","
                    Years
                ","
                    Delivery
                "
HENVS,Bachelor of Environmental Studies (Honours),Single,Undergraduate,-,1,In Person
BEURO,Bachelor of European Studies,Flexible,Undergraduate,80,3,In Person
HEURO,Bachelor of European Studies (Honours),Single,Undergraduate,-,1,In Person
BFINN,Bachelor of Finance,Flexible,Undergraduate,86,3,In Person
HFINN,Bachelor of Finance (Honours),Single,Undergraduate,-,1,In Person
AFEST,"Bachelor of Finance, Economics and Statistics (Honours)",Single,Undergraduate,99,4,In Person
BGENE,Bachelor of Genetics,Flexible,Undergraduate,90,3,In Person
HGENE,Bachelor of Genetics (Honours),Single,Undergraduate,-,1,In Person
BHLTH,Bachelor of Health Science,Vertical,Undergraduate,90,3,In Person
BIT,Bachelor of Information Technology,Flexible,Undergraduate,80,3,In Person
HIT,Bachelor of Information Technology (Honours),Single,Undergraduate,-,1,In Person
BINBS,Bachelor of International Business,Single,Undergraduate,86,3,In Person
HINBS,Bachelor of International Business (Honours),Single,Undergraduate,-,1,In Person
BIR,Bachelor of International Relations,Flexible,Undergraduate,90,3,In Person
HIR,Bachelor of International Relations (Honours),Single,Undergraduate,-,1,In Person
BINSS,Bachelor of International Security Studies,Flexible,Undergraduate,90,3,In Person
HINSS,Bachelor of International Security Studies (Honours),Single,Undergraduate,-,1,In Person
BLANG,Bachelor of Languages,Flexible,Undergraduate,80,3,In Person
HLANG,Bachelor of Languages (Honours),Single,Undergraduate,-,1,In Person
HLAMS,Bachelor of Latin American Studies (Honours),Single,Undergraduate,-,1,In Person
ALLB,Bachelor of Laws (Honours),Flexible,Undergraduate,98,4,In Person
BMASC,Bachelor of Mathematical Sciences,Flexible,Undergraduate,95,3,In Person
HMASC,Bachelor of Mathematical Sciences (Honours),Single,Undergraduate,-,1,In Person
BMEDS,Bachelor of Medical Science,Flexible,Undergraduate,90,3,In Person
HMDSA,Bachelor of Medical Science (Honours),Single,Undergraduate,-,1,In Person
HMEDS,Bachelor of Medical Science (Honours),Single,Undergraduate,-,1,In Person
BMECA,Bachelor of Middle Eastern and Central Asian Studies,Flexible,Undergraduate,80,3,In Person
HMECA,Bachelor of Middle Eastern and Central Asian Studies (Honours),Single,Undergraduate,-,1,In Person
BMUSI,Bachelor of Music,Flexible,Undergraduate,80,3,In Person
HMUSI,Bachelor of Music (Honours),Single,Undergraduate,-,1,In Person
BPAST,Bachelor of Pacific Studies,Flexible,Undergraduate,80,3,In Person
APHAR,Bachelor of Philosophy (Honours) - Arts and Social Science,Single,Undergraduate,99,4,In Person
APASP,Bachelor of Philosophy (Honours) - Asia and the Pacific,Single,Undergraduate,99,4,In Person
APHSC,Bachelor of Philosophy (Honours) - Science,Single,Undergraduate,99,4,In Person
APNAR,Bachelor of Philosophy (Honours) / Bachelor of  Arts (Honours),Single,Undergraduate,99,4,In Person
APNSC,Bachelor of Philosophy (Honours) / Bachelor of Science (Honours) - ANU as home institution,Single,Undergraduate,99,4,In Person
APNSN,Bachelor of Philosophy (Honours) / Bachelor of Science (Honours) - NUS as home institution,Single,Undergraduate,99,4,In Person
BPOLS,Bachelor of Policy Studies,Flexible,Undergraduate,80,3,In Person
HPOLS,Bachelor of Policy Studies (Honours),Single,Undergraduate,-,1,In Person
BPLSC,Bachelor of Political Science,Flexible,Undergraduate,90,3,In Person
HPLSC,Bachelor of Political Science (Honours),Single,Undergraduate,-,1,In Person
BPPE,"Bachelor of Politics, Philosophy and Economics",Flexible,Undergraduate,96,3,In Person
HPPE,"Bachelor of Politics, Philosophy and Economics (Honours)",Single,Undergraduate,-,1,In Person
APSYC,Bachelor of Psychology (Honours),Single,Undergraduate,95,4,In Person
BSC,Bachelor of Science,Flexible,Undergraduate,80,3,In Person
ASCAD,Bachelor of Science (Advanced) (Honours),Single,Undergraduate,95,4,In Person
HSC,Bachelor of Science (Honours),Single,Undergraduate,-,1,In Person
BSPSY,Bachelor of Science (Psychology),Flexible,Undergraduate,80,3,In Person
HSPSY,Bachelor of Science (Psychology) (Honours),Single,Undergraduate,-,1,In Person
ASSAE,Bachelor of Social Sciences (Honours in Actuarial Studies and Economics),Single,Undergraduate,95,4,In Person
ASENG,Bachelor of Software Engineering (Honours),Flexible,Undergraduate,87,4,In Person
BSTAT,Bachelor of Statistics,Flexible,Undergraduate,86,3,In Person
HSTAT,Bachelor of Statistics (Honours),Single,Undergraduate,-,1,In Person
BSTUD,Bachelor of Studies,Single,Undergraduate,80,3,In Person
BVART,Bachelor of Visual Arts,Flexible,Undergraduate,-,3,In Person
HVART,Bachelor of Visual Arts (Honours),Single,Undergraduate,-,1,In Person
EADST,Diploma of Advanced Studies,Single,Undergraduate,-,1,In Person
ECOMP,Diploma of Computing,Single,Undergraduate,70,1,In Person
EDESN,Diploma of Creative Design,Single,Undergraduate,70,1,In Person
ELIBS,Diploma of Liberal Studies,Single,Undergraduate,70,1,In Person
EMUSI,Diploma of Music,Single,Undergraduate,70,1,In Person
ESCIE,Diploma of Science,Single,Undergraduate,70,1,In Person
4750FDD,Flexible Double Degree,Single,Undergraduate,-,5,In Person
4050FDD,"Flexible Double Degree - Arts, Social  Sciences, Business, Science",Flexible,Undergraduate,-,4,In Person
4350FDD,Flexible Double Degree – Law (Honours),Single,Undergraduate,98,5,In Person
