"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
ANCH3503,Bad Neighbours: Law and life in ancient Athens,"Second Semester, 2018",Undergraduate,6,In Person
ECON2013,Behavioral Economics,"Second Semester, 2018",Undergraduate,6,In Person
STAT3017,Big Data Statistics,"Second Semester, 2018",Undergraduate,6,In Person
ENGN4820,Bio Micro and Nano Electro-Mechanical Systems (BioMEMS and BioNEMS),"Second Semester, 2018",Undergraduate,6,In Person
ENVS3039,Biodiversity Conservation,"Second Semester, 2018",Undergraduate,6,In Person
ENVS2001,"Biodiversity Science: Wildlife, Vegetation and Landscape Ecology","Second Semester, 2018",Undergraduate,6,In Person
MATH2307,Bioinformatics and Biological Modelling,"Second Semester, 2018",Undergraduate,6,In Person
BIOL3157,Bioinformatics and Functional Genomics,"Second Semester, 2018",Undergraduate,6,In Person
PSYC2007,Biological Basis of Behaviour,"Second Semester, 2018",Undergraduate,6,In Person
BIOL1004,Biology 2: Molecular and Cell Biology,"Second Semester, 2018",Undergraduate,6,In Person
ANUC1126,Biology 2: Molecular and Cell Biology,"Second Semester, 2018",Undergraduate,6,In Person
BIOL4001,Biology IV Honours,"Second Semester, 2018",Undergraduate,12,In Person
BIOL3209,Biology Research Project,"Second Semester, 2018",Undergraduate,12,In Person
BIOL3208,Biology Research Project,"Second Semester, 2018",Undergraduate,6,In Person
BIOL3191,"Biology, Society and Ethics","Second Semester, 2018",Undergraduate,6,In Person
BIOL3106,Biosecurity,"Second Semester, 2018",Undergraduate,6,In Person
POPH4101,Biostatistics in Population Health,"Second Semester, 2018",Undergraduate,6,In Person
ASTR3002,Black Holes and Cosmology,"Second Semester, 2018",Undergraduate,6,In Person
ASTR4002,Black Holes and Cosmology,"Second Semester, 2018",Undergraduate,6,In Person
ASIA2167,Borders and their Transgressions in Mainland Southeast Asia,"Second Semester, 2018",Undergraduate,6,In Person
BURM1003,Burmese 2,"Second Semester, 2018",Undergraduate,6,In Person
BURM2002,Burmese 4,"Second Semester, 2018",Undergraduate,6,In Person
EMET4312,Business & Economic Forecasting,"Second Semester, 2018",Undergraduate,6,In Person
MGMT2003,Business Decision Making,"Second Semester, 2018",Undergraduate,6,In Person
MGMT3016,Business Ethics,"Second Semester, 2018",Undergraduate,6,In Person
ANUC1001,Business Information Systems,"Second Semester, 2018",Undergraduate,6,In Person
INFS1001,Business Information Systems,"Second Semester, 2018",Undergraduate,6,In Person
INFS4500,Business Information Systems Honours Thesis,"Second Semester, 2018",Undergraduate,6,In Person
BUSN1001,Business Reporting and Analysis,"Second Semester, 2018",Undergraduate,6,In Person
EMET3007,Business and Economic Forecasting,"Second Semester, 2018",Undergraduate,6,In Person
CHIN2025,Cantonese 2,"Second Semester, 2018",Undergraduate,6,In Person
CHEM3206,Catalysis in Chemistry,"Second Semester, 2018",Undergraduate,6,In Person
BIOL2117,Cell Biology,"Second Semester, 2018",Undergraduate,6,In Person
BIOL2174,Cell Physiology in Health and Disease,"Second Semester, 2018",Undergraduate,6,In Person
ARTV2120,Ceramics: Designing for the Table and Home,"Second Semester, 2018",Undergraduate,6,In Person
ARTV2119,Ceramics: Experimental Methods and Meanings,"Second Semester, 2018",Undergraduate,6,In Person
ARTV1101,Ceramics: Materials & Technology,"Second Semester, 2018",Undergraduate,6,In Person
ARTV1102,Ceramics: Throwing & Surface Decoration,"Second Semester, 2018",Undergraduate,6,In Person
CHEM2208,Chemical Biology 2,"Second Semester, 2018",Undergraduate,6,In Person
CHEM2203,Chemical Structure and Reactivity 2,"Second Semester, 2018",Undergraduate,6,In Person
ANUC1128,Chemistry 2,"Second Semester, 2018",Undergraduate,6,In Person
CHEM1201,Chemistry 2,"Second Semester, 2018",Undergraduate,6,In Person
CHEM4005,Chemistry IV Honours (S),"Second Semester, 2018",Undergraduate,12,In Person
EMSC2015,Chemistry of Planet Earth,"Second Semester, 2018",Undergraduate,6,In Person
EMSC4015,Chemistry of Planet Earth,"Second Semester, 2018",Undergraduate,6,In Person
INTR2012,Chinese Foreign and Security Policy,"Second Semester, 2018",Undergraduate,6,In Person
LING2017,Chinese Linguistics,"Second Semester, 2018",Undergraduate,6,In Person
CHIN1202,Chinese Secondary Extension - Continuing,"Second Semester, 2018",Undergraduate,6,In Person
CHIN3212,Chinese for Native Speakers B,"Second Semester, 2018",Undergraduate,6,In Person
CHIN3041,Chinese-English Translation,"Second Semester, 2018",Undergraduate,6,In Person
FILM2013,Cinema from the Spanish-speaking World,"Second Semester, 2018",Undergraduate,6,In Person
SPAN2107,Cinema from the Spanish-speaking World,"Second Semester, 2018",Undergraduate,6,In Person
ARTH3004,City Sites: studies in art and urbanity,"Second Semester, 2018",Undergraduate,6,In Person
PHYS2201,Classical Mechanics,"Second Semester, 2018",Undergraduate,6,In Person
ENVS3013,Climatology,"Second Semester, 2018",Undergraduate,6,In Person
MEDI4003,Clinical Experience Final Year Medical Students,"Second Semester, 2018",Undergraduate,0,In Person
LAWS4267,Clinical Youth Law Program,"Second Semester, 2018",Undergraduate,6,In Person
PSYC2008,Cognition,"Second Semester, 2018",Undergraduate,6,In Person
CBEA3001,College of Business and Economics Special Industry Project,"Second Semester, 2018",Undergraduate,6,In Person
LAWS2202,Commonwealth Constitutional Law,"Second Semester, 2018",Undergraduate,6,In Person
MGMT2100,Communication for Business,"Second Semester, 2018",Undergraduate,6,In Person
LAWS4268,Community Law Clinical Program,"Second Semester, 2018",Undergraduate,6,In Person
BUSN2015,Company Accounting,"Second Semester, 2018",Undergraduate,6,In Person
EURO3002,Comparative European Politics,"Second Semester, 2018",Undergraduate,6,In Person
BIOL2115,Comparative Physiology,"Second Semester, 2018",Undergraduate,6,In Person
ENVS3040,Complex Environmental Problems in Action,"Second Semester, 2018",Undergraduate,6,In Person
ENGN4511,Composite Materials,"Second Semester, 2018",Undergraduate,6,In Person
MUSI2226,Composition for Film and Video Games,"Second Semester, 2018",Undergraduate,6,In Person
MUSI1112,"Composition, Arranging, and Sound Design 2","Second Semester, 2018",Undergraduate,6,In Person
MUSI2224,"Composition, Arranging, and Sound Design 4","Second Semester, 2018",Undergraduate,6,In Person
MUSI3315,"Composition, Arranging, and Sound Design 6","Second Semester, 2018",Undergraduate,6,In Person
ECON4414,Computational Methods in Economics,"Second Semester, 2018",Undergraduate,6,In Person
ECON3127,Computational Methods in Economics,"Second Semester, 2018",Undergraduate,6,In Person
COMP3820,Computer Science & Software Engineering Internship,"Second Semester, 2018",Undergraduate,6,In Person
COMP4005F,Computer Science IV Honours,"Second Semester, 2018",Undergraduate,12,In Person
COMP4005P,Computer Science IV Honours,"Second Semester, 2018",Undergraduate,12,In Person
PHYS3032,Condensed Matter Physics,"Second Semester, 2018",Undergraduate,6,In Person
ARTH2161,Contemporary Australian Art,"Second Semester, 2018",Undergraduate,6,In Person
INDG2002,Contemporary Australian Indigenous Music Studies,"Second Semester, 2018",Undergraduate,6,In Person
POLS2044,Contemporary Political Analysis,"Second Semester, 2018",Undergraduate,6,In Person
POLS2063,Contemporary Political Theory,"Second Semester, 2018",Undergraduate,6,In Person
GREK1102,Continuing Ancient Greek,"Second Semester, 2018",Undergraduate,6,In Person
GREK2119,Continuing Ancient Greek (L),"Second Semester, 2018",Undergraduate,6,In Person
FREN2025,Continuing French II,"Second Semester, 2018",Undergraduate,6,In Person
LATN1102,Continuing Latin,"Second Semester, 2018",Undergraduate,6,In Person
LATN2119,Continuing Latin (L),"Second Semester, 2018",Undergraduate,6,In Person
PORT2002,Continuing Portuguese II,"Second Semester, 2018",Undergraduate,6,In Person
SPAN2002,Continuing Spanish II,"Second Semester, 2018",Undergraduate,6,In Person
LAWS1204,Contracts,"Second Semester, 2018",Undergraduate,6,In Person
ENGN3223,Control Systems,"Second Semester, 2018",Undergraduate,6,In Person
STST1003,Coping with Crisis: The Practice of International Security,"Second Semester, 2018",Undergraduate,6,In Person
FINM2001,Corporate Finance,"Second Semester, 2018",Undergraduate,6,In Person
BUSN4045,Corporate Governance,"Second Semester, 2018",Undergraduate,6,In Person
BUSN3017,"Corporate Social Responsibility, Accountability and Reporting","Second Semester, 2018",Undergraduate,6,In Person
FINM3005,Corporate Valuation,"Second Semester, 2018",Undergraduate,6,In Person
ECON4418,Cost Benefit Analysis,"Second Semester, 2018",Undergraduate,6,In Person
ECON2133,Cost-benefit Analysis,"Second Semester, 2018",Undergraduate,6,In Person
DESA3005,Craft and Design Major 8: Developing a Design Practice,"Second Semester, 2018",Undergraduate,6,In Person
ARTV3029,Craft and Design Major 8: Resolving a Body of Original Work,"Second Semester, 2018",Undergraduate,6,In Person
ARTV2039,Craft and Design Practice-led Research,"Second Semester, 2018",Undergraduate,6,In Person
VCUG2001,Creating Knowledge,"Second Semester, 2018",Undergraduate,6,In Person
DESN2003,Creative Data Visualisation: Representing Data in Visual and Material Form,"Second Semester, 2018",Undergraduate,6,In Person
STAT4036,Credibility Theory,"Second Semester, 2018",Undergraduate,6,In Person
STAT3036,Credibility Theory,"Second Semester, 2018",Undergraduate,6,In Person
CRIM3001,Criminal Behaviour,"Second Semester, 2018",Undergraduate,6,In Person
LAWS4288,Critical Legal Theory,"Second Semester, 2018",Undergraduate,6,In Person
SCOM3029,Cross Cultural Perspectives in Science Communication,"Second Semester, 2018",Undergraduate,6,In Person
BUSI3029,Cross-Cultural Management,"Second Semester, 2018",Undergraduate,6,In Person
ASIA2302,Culture and Modernity in Asia: Anthropological Perspectives,"Second Semester, 2018",Undergraduate,6,In Person
ANTH2057,Culture and Person,"Second Semester, 2018",Undergraduate,6,In Person
BIAN2120,"Culture, Biology and Population Dynamics","Second Semester, 2018",Undergraduate,6,In Person
ARTH2045,Curatorship Theory and Practice,"Second Semester, 2018",Undergraduate,6,In Person
FREN3107,Current Affairs and the French Press (Advanced),"Second Semester, 2018",Undergraduate,6,In Person
LAWS4262,Current Issues in Administrative Law,"Second Semester, 2018",Undergraduate,6,In Person
POLS2132,Current Issues in International Security,"Second Semester, 2018",Undergraduate,6,In Person
CHEM3207,Current Topics in Chemical Biology,"Second Semester, 2018",Undergraduate,6,In Person
COMP2700,Cyber Security Foundations,"Second Semester, 2018",Undergraduate,6,In Person
ARTH2162,Cyberculture,"Second Semester, 2018",Undergraduate,6,In Person
EMSC4123,Data Analysis,"Second Semester, 2018",Undergraduate,3,In Person
COMP3430,Data Wrangling,"Second Semester, 2018",Undergraduate,6,In Person
SOCR3001,Data for Decision Making,"Second Semester, 2018",Undergraduate,6,In Person
COMP3701,Defensive Cyber Security Operations,"Second Semester, 2018",Undergraduate,6,In Person
HIST2240,Democracy and Dissent: Europe Since 1945,"Second Semester, 2018",Undergraduate,6,In Person
FINM2002,Derivatives,"Second Semester, 2018",Undergraduate,6,In Person
DESN3010,"Design Practice: Engagement, Internship and Entrepreneurship","Second Semester, 2018",Undergraduate,6,In Person
ECON4409,Development Poverty & Famine,"Second Semester, 2018",Undergraduate,6,In Person
HIST2237,"Digital History, Digital Heritage: the past in a digital present","Second Semester, 2018",Undergraduate,6,Online
HUMN2001,Digital Humanities: Theories and Projects,"Second Semester, 2018",Undergraduate,6,In Person
CRIM2004,Dimensions of Crime: Identifying and Controlling Offenders,"Second Semester, 2018",Undergraduate,6,In Person
ARAB3007,Directed Study Project (Arabic),"Second Semester, 2018",Undergraduate,6,In Person
ANUC1005,Discrete Mathematical Models,"Second Semester, 2018",Undergraduate,6,In Person
BIOL1009,Diversity of Life,"Second Semester, 2018",Undergraduate,6,In Person
COMP4650,Document Analysis,"Second Semester, 2018",Undergraduate,6,In Person
CRIM2001,Doing Criminology: Research and Practice in Crime and Criminal Justice,"Second Semester, 2018",Undergraduate,6,In Person
ANTH2067,Doing Ethnography: Practicum on Applied Anthropology,"Second Semester, 2018",Undergraduate,6,In Person
ANTH2138,Doing Medical Anthropology,"Second Semester, 2018",Undergraduate,6,In Person
ENGN2229,Dynamics and Simulation,"Second Semester, 2018",Undergraduate,6,In Person
BUSI2023,Dynamics of Asian Business,"Second Semester, 2018",Undergraduate,6,In Person
EMSC1008,EARTH: The Chemistry and Physics of our Planet,"Second Semester, 2018",Undergraduate,6,In Person
EMSC4005,Earth and Marine Sciences Honours Thesis,"Second Semester, 2018",Undergraduate,3,In Person
ENVS3014,Ecological Assessment and Management,"Second Semester, 2018",Undergraduate,6,In Person
EMET4308,Econometric Theory,"Second Semester, 2018",Undergraduate,6,In Person
EMET3004,Econometrics II: Econometric Modelling,"Second Semester, 2018",Undergraduate,6,In Person
EMSC3007,Economic Geology,"Second Semester, 2018",Undergraduate,6,In Person
ECON3023,Economic Policy Issues,"Second Semester, 2018",Undergraduate,6,In Person
ECON4403,Economic Policy Issues,"Second Semester, 2018",Undergraduate,6,In Person
ECON3100,Economics 3 (H),"Second Semester, 2018",Undergraduate,6,In Person
ECON4488,Economics Honours Research Essay,"Second Semester, 2018",Undergraduate,6,In Person
ECON1100,Economics I (H),"Second Semester, 2018",Undergraduate,6,In Person
ECON2016,Economics II (H),"Second Semester, 2018",Undergraduate,6,In Person
ASIA2067,Economies of Emerging Asia,"Second Semester, 2018",Undergraduate,6,In Person
ASIA3024,"Editor’s practicum: online public engagement, academic blogging and digital disruption","Second Semester, 2018",Undergraduate,6,In Person
PHYS2016,Electromagnetism,"Second Semester, 2018",Undergraduate,6,In Person
TURK1002,Elementary Turkish B,"Second Semester, 2018",Undergraduate,6,In Person
ENGL2068,Empire and its Fictions,"Second Semester, 2018",Undergraduate,6,In Person
ENGN4516,Energy Resources and Renewable Technologies,"Second Semester, 2018",Undergraduate,6,In Person
ENGN3230,Engineering Innovation,"Second Semester, 2018",Undergraduate,6,In Person
ENGN3200,Engineering Internship,"Second Semester, 2018",Undergraduate,6,In Person
ENGN3706,Engineering Research & Development Project,"Second Semester, 2018",Undergraduate,6,In Person
ENGN3712,Engineering Research and Development Project,"Second Semester, 2018",Undergraduate,6,In Person
ENGN2707,Engineering Research and Development Project,"Second Semester, 2018",Undergraduate,6,In Person
ENGN4718,Engineering Research and Development Project,"Second Semester, 2018",Undergraduate,6,In Person
ENGN4712,Engineering Research and Development Project,"Second Semester, 2018",Undergraduate,6,In Person
ENGN4706,Engineering Research and Development Project,"Second Semester, 2018",Undergraduate,6,In Person
ENGN3410,Engineering Sustainable Systems,"Second Semester, 2018",Undergraduate,6,In Person
ENGN2222,Engineering Thermodynamics,"Second Semester, 2018",Undergraduate,6,In Person
LAWS4209,English in a Legal Context,"Second Semester, 2018",Undergraduate,0,In Person
ACST4061,Enterprise Risk Management 2,"Second Semester, 2018",Undergraduate,6,In Person
INFS3002,Enterprise Systems in Business,"Second Semester, 2018",Undergraduate,6,In Person
MGMT3027,Entrepreneurship and Innovation,"Second Semester, 2018",Undergraduate,6,In Person
POLS3033,"Environment, Human Security and Conflict","Second Semester, 2018",Undergraduate,6,In Person
LAWS4281,Environmental Law Clinical Program,"Second Semester, 2018",Undergraduate,6,In Person
LAWS2205,Equity and Trusts,"Second Semester, 2018",Undergraduate,6,In Person
ESEN1101,Essential University English,"Second Semester, 2018",Undergraduate,6,In Person
EURO1004,Europe in the Modern Era,"Second Semester, 2018",Undergraduate,6,In Person
LAWS2207,Evidence,"Second Semester, 2018",Undergraduate,6,In Person
BIOL2114,Evolution,"Second Semester, 2018",Undergraduate,6,In Person
BIOL3206,Evolution of Biodiversity,"Second Semester, 2018",Undergraduate,6,In Person
SOCY2026,Excessive Appetites: Sociocultural Perspectives on Addiction and Drug Use,"Second Semester, 2018",Undergraduate,6,In Person
GEND2036,Excessive Appetites: Sociocultural Perspectives on Addiction and Drug Use,"Second Semester, 2018",Undergraduate,6,In Person
CBEA5922,ExchExchange Program ANU College of Business and Economics - Band 3,"Second Semester, 2018",Undergraduate,6,In Person
CBEA5920,Exchange Program ANU College of Business and Economics - Band 2,"Second Semester, 2018",Undergraduate,6,In Person
ARTS5920,Exchange Program for Arts Students,"Second Semester, 2018",Undergraduate,6,In Person
LAWS5920,Exchange Program for Law Students,"Second Semester, 2018",Undergraduate,6,In Person
SCNC5921,Exchange Program for Science Students (Band 1),"Second Semester, 2018",Undergraduate,6,In Person
SCNC5920,Exchange Program for Science Students (Band 2),"Second Semester, 2018",Undergraduate,6,In Person
COMP5920,Exchange Program in Computer Science,"Second Semester, 2018",Undergraduate,6,In Person
ENGN5920,Exchange Program in Engineering,"Second Semester, 2018",Undergraduate,6,In Person
CBEA5921,Exchange – ANU College of Business and Economics _ Bachelor of Social Sciences (Honours),"Second Semester, 2018",Undergraduate,6,In Person
BIOL2202,Experimental Design and Analysis in Biology,"Second Semester, 2018",Undergraduate,6,In Person
ANUC1123,Figure & Life,"Second Semester, 2018",Undergraduate,6,In Person
ARTV1020,Figure & Life,"Second Semester, 2018",Undergraduate,6,In Person
HONS4601,Final Honours Grade,"Second Semester, 2018",Undergraduate,0,In Person
HONS4100,Final Honours Grade,"Second Semester, 2018",Undergraduate,0,In Person
