"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
BIAN2130,Ancient Medicine,"First Semester, 2018",Undergraduate,6,In Person
ARTV2610,Animation and Video: Character development,"First Semester, 2018",Undergraduate,6,In Person
ARTV3615,Animation and Video: Project Development.,"First Semester, 2018",Undergraduate,6,In Person
ARTV1103,Animation and Video: The Digital Workspace,"First Semester, 2018",Undergraduate,6,In Person
ARTV2609,Animation and Video: Visual Storytelling,"First Semester, 2018",Undergraduate,6,In Person
ARTV2615,Animation: Creative Possibilities,"First Semester, 2018",Undergraduate,6,In Person
BIAN2064,Anthropology of Environmental Disasters,"First Semester, 2018",Undergraduate,6,In Person
MATH2305,Applied Mathematics I,"First Semester, 2018",Undergraduate,6,In Person
EMET4301,Applied Micro-econometrics,"First Semester, 2018",Undergraduate,6,In Person
EMET3006,Applied Micro-econometrics,"First Semester, 2018",Undergraduate,6,In Person
STAT4102,Applied Time Series Analysis,"First Semester, 2018",Undergraduate,6,In Person
HIST2110,Approaches to History,"First Semester, 2018",Undergraduate,6,In Person
ARCH2007,Archaeological Laboratory Methods,"First Semester, 2018",Undergraduate,6,In Person
ARCH4002,Archaeology Honours Research Seminar,"First Semester, 2018",Undergraduate,6,In Person
ARCH1111,Archaeology Uncovered,"First Semester, 2018",Undergraduate,6,In Person
ARCH2052,Archaeology in Film and Fiction,"First Semester, 2018",Undergraduate,6,In Person
ARCH3030,Archaeology of Ritual and Religion,"First Semester, 2018",Undergraduate,6,In Person
ARTH4015,Art Museum Internship: Collection Management,"First Semester, 2018",Undergraduate,6,In Person
ARTH1006,Art and Design Histories: Form and Space,"First Semester, 2018",Undergraduate,6,In Person
ARTH2044,"Art and Its Context: Materials, Techniques, Display","First Semester, 2018",Undergraduate,6,In Person
ARTH2052,Art of the Modern Print,"First Semester, 2018",Undergraduate,6,In Person
COMP3620,Artificial Intelligence,"First Semester, 2018",Undergraduate,6,In Person
ASIA3023,Asia Pacific Week Internship,"First Semester, 2018",Undergraduate,6,In Person
ASIA1025,"Asia and the Pacific: Power, diversity and change","First Semester, 2018",Undergraduate,6,In Person
FINM3045,Asian Capital Markets,"First Semester, 2018",Undergraduate,6,In Person
ASTR4005,Astronomy and Astrophysics IV Honours Research Project,"First Semester, 2018",Undergraduate,6,In Person
ASTR1001,Astrophysics,"First Semester, 2018",Undergraduate,6,Online
ASTR3005,Astrophysics Research Topic,"First Semester, 2018",Undergraduate,6,In Person
BUSN3002,Auditing,"First Semester, 2018",Undergraduate,6,In Person
STST2003,Australia and Security in the Pacific Islands,"First Semester, 2018",Undergraduate,6,In Person
STST3002,Australia's Security in the Asian Century,"First Semester, 2018",Undergraduate,6,In Person
FILM2066,Australian Cinema: The Kelly Gang to Baz Luhrmann's Australia,"First Semester, 2018",Undergraduate,6,In Person
ANIP3005,Australian National Internship B,"First Semester, 2018",Undergraduate,12,In Person
ANIP3007,Australian National Internships Program D,"First Semester, 2018",Undergraduate,24,In Person
ANIP3003,Australian National Internships Program Internship A,"First Semester, 2018",Undergraduate,6,In Person
LAWS1205,Australian Public Law,"First Semester, 2018",Undergraduate,6,In Person
PREP1104,Australian Studies,"First Semester, 2018",Undergraduate,6,In Person
BIOL3201,Big Questions in Biology,"First Semester, 2018",Undergraduate,6,In Person
COMP4660,Bio-inspired Computing: Applications and Interfaces,"First Semester, 2018",Undergraduate,6,In Person
BIOL2171,Biochemistry and Nutrition,"First Semester, 2018",Undergraduate,6,In Person
PREP1105,Biology,"First Semester, 2018",Undergraduate,6,In Person
ANUC1125,"Biology 1: Evolution, Ecology and Genetics","First Semester, 2018",Undergraduate,6,In Person
BIOL1003,"Biology 1: Evolution, Ecology and Genetics","First Semester, 2018",Undergraduate,6,In Person
BIOL4001,Biology IV Honours,"First Semester, 2018",Undergraduate,12,In Person
BIOL3209,Biology Research Project,"First Semester, 2018",Undergraduate,12,In Person
BIOL3208,Biology Research Project,"First Semester, 2018",Undergraduate,6,In Person
ENGN3810,Biomechanics and Biomaterials,"First Semester, 2018",Undergraduate,6,In Person
ENGN3820,Biomedical Imaging,"First Semester, 2018",Undergraduate,6,In Person
POPH4101,Biostatistics in Population Health,"First Semester, 2018",Undergraduate,6,In Person
ARCH2056,Britons and Romans: Archaeology of the Western Roman Empire,"First Semester, 2018",Undergraduate,6,In Person
POLS2009,Bureaucracy and Public Policy,"First Semester, 2018",Undergraduate,6,In Person
BURM1002,Burmese 1,"First Semester, 2018",Undergraduate,6,In Person
BURM2001,Burmese 3,"First Semester, 2018",Undergraduate,6,In Person
INFS1001,Business Information Systems,"First Semester, 2018",Undergraduate,6,In Person
ANUC1001,Business Information Systems,"First Semester, 2018",Undergraduate,6,In Person
INFS4500,Business Information Systems Honours Thesis,"First Semester, 2018",Undergraduate,6,In Person
BUSN1001,Business Reporting and Analysis,"First Semester, 2018",Undergraduate,6,In Person
MGMT3102,Business and its Social Stakeholders,"First Semester, 2018",Undergraduate,6,In Person
PREP1106,Calculus,"First Semester, 2018",Undergraduate,6,In Person
CHIN2024,Cantonese 1,"First Semester, 2018",Undergraduate,6,In Person
MGMT2005,Career Planning and Management,"First Semester, 2018",Undergraduate,6,In Person
NEUR3101,Cellular Neuroscience,"First Semester, 2018",Undergraduate,6,In Person
ARTV1101,Ceramics: Materials & Technology,"First Semester, 2018",Undergraduate,6,In Person
ARTV2125,"Ceramics: Moulding, Casting & Digital Technologies","First Semester, 2018",Undergraduate,6,In Person
ARTV2124,"Ceramics: Surface, Form and Connectivity","First Semester, 2018",Undergraduate,6,In Person
CHEM2211,Chemical Biology 1,"First Semester, 2018",Undergraduate,6,In Person
CHEM2202,Chemical Structure and Reactivity 1,"First Semester, 2018",Undergraduate,6,In Person
PREP1107,Chemistry,"First Semester, 2018",Undergraduate,6,In Person
CHEM1101,Chemistry 1,"First Semester, 2018",Undergraduate,6,In Person
ANUC1127,Chemistry 1,"First Semester, 2018",Undergraduate,6,In Person
CHEM4005,Chemistry IV Honours (S),"First Semester, 2018",Undergraduate,12,In Person
ASIA2014,"China Now: Discourse, Media and Culture","First Semester, 2018",Undergraduate,6,In Person
CHIN1202,Chinese Secondary Extension - Continuing,"First Semester, 2018",Undergraduate,6,In Person
CHIN3211,Chinese for Native Speakers A,"First Semester, 2018",Undergraduate,6,In Person
CHIN3216,Chinese-English Interpreting,"First Semester, 2018",Undergraduate,6,In Person
HIST1214,Clash of Empires: 1450 to the Present,"First Semester, 2018",Undergraduate,6,In Person
SOCY2040,Classical Social Theory,"First Semester, 2018",Undergraduate,6,In Person
CLAS4006,Classics Methods and Evidence,"First Semester, 2018",Undergraduate,12,In Person
MEDI4003,Clinical Experience Final Year Medical Students,"First Semester, 2018",Undergraduate,0,In Person
LAWS4267,Clinical Youth Law Program,"First Semester, 2018",Undergraduate,6,In Person
ANUC1109,Close Encounters: How to Read Literature,"First Semester, 2018",Undergraduate,6,In Person
ENGL1014,Close Encounters: How to Read Literature,"First Semester, 2018",Undergraduate,6,In Person
CBEA3001,College of Business and Economics Special Industry Project,"First Semester, 2018",Undergraduate,6,In Person
LAWS4210,Commercial Law,"First Semester, 2018",Undergraduate,6,In Person
SCOM4014,Communicating Science with the Public,"First Semester, 2018",Undergraduate,6,In Person
MGMT2100,Communication for Business,"First Semester, 2018",Undergraduate,6,In Person
LAWS4268,Community Law Clinical Program,"First Semester, 2018",Undergraduate,6,In Person
BUSN2015,Company Accounting,"First Semester, 2018",Undergraduate,6,In Person
MUSI1111,"Composition, Arranging, and Sound Design 1","First Semester, 2018",Undergraduate,6,In Person
MUSI2223,"Composition, Arranging, and Sound Design 3","First Semester, 2018",Undergraduate,6,In Person
MUSI3314,"Composition, Arranging, and Sound Design 5","First Semester, 2018",Undergraduate,6,In Person
COMP3310,Computer Networks,"First Semester, 2018",Undergraduate,6,In Person
COMP2300,Computer Organisation and Program Execution,"First Semester, 2018",Undergraduate,6,In Person
COMP3820,Computer Science & Software Engineering Internship,"First Semester, 2018",Undergraduate,6,In Person
COMP4005F,Computer Science IV Honours,"First Semester, 2018",Undergraduate,12,In Person
COMP4005P,Computer Science IV Honours,"First Semester, 2018",Undergraduate,12,In Person
ENGN4528,Computer Vision,"First Semester, 2018",Undergraduate,6,In Person
ENGN2219,Computing for Engineering Simulation,"First Semester, 2018",Undergraduate,6,In Person
LAWS4212,Conflict of Laws,"First Semester, 2018",Undergraduate,6,In Person
MKTG2031,Consumer Behaviour,"First Semester, 2018",Undergraduate,6,In Person
LAWS4213,Contemporary Issues in Constitutional Law,"First Semester, 2018",Undergraduate,6,In Person
FREN2024,Continuing French I,"First Semester, 2018",Undergraduate,6,In Person
PORT2001,Continuing Portuguese I,"First Semester, 2018",Undergraduate,6,In Person
SPAN2001,Continuing Spanish I,"First Semester, 2018",Undergraduate,6,In Person
FINM3003,Continuous Time Finance,"First Semester, 2018",Undergraduate,6,In Person
FINM2001,Corporate Finance,"First Semester, 2018",Undergraduate,6,In Person
BUSN4045,Corporate Governance,"First Semester, 2018",Undergraduate,6,In Person
MGMT3015,Corporate Strategy,"First Semester, 2018",Undergraduate,6,In Person
MGMT2001,Corporate Sustainability,"First Semester, 2018",Undergraduate,6,In Person
FINM3005,Corporate Valuation,"First Semester, 2018",Undergraduate,6,In Person
LAWS2203,Corporations Law,"First Semester, 2018",Undergraduate,6,In Person
DESA3004,Craft and Design Major 7: Designing Through Making,"First Semester, 2018",Undergraduate,6,In Person
ARTV3028,Craft and Design Major 7: Developing A Visual Arts Practice,"First Semester, 2018",Undergraduate,6,In Person
VCUG2004,Creating Impact,"First Semester, 2018",Undergraduate,6,In Person
MUSI4404,Creative Practice as Research,"First Semester, 2018",Undergraduate,6,In Person
ENGL4021,"Creative Reading: Topics in Theory, Methodology and Interpretation","First Semester, 2018",Undergraduate,6,In Person
ENGL2078,Creative Writing 3: Advanced Fiction,"First Semester, 2018",Undergraduate,6,In Person
HIST2232,Crime and Justice: Historical Dilemmas,"First Semester, 2018",Undergraduate,6,In Person
LAWS4214,Criminal Justice,"First Semester, 2018",Undergraduate,6,In Person
LAWS1206,Criminal Law and Procedure,"First Semester, 2018",Undergraduate,6,In Person
PREP1108,Critical Thinking and Reasoning,"First Semester, 2018",Undergraduate,6,In Person
LING2021,Cross Cultural Communication,"First Semester, 2018",Undergraduate,6,In Person
ANTH2129,"Crossing Borders: Migration, Identity and Livelihood","First Semester, 2018",Undergraduate,6,In Person
ANTH2009,Culture and Development,"First Semester, 2018",Undergraduate,6,In Person
ANTH1002,Culture and Human Diversity: Introducing Anthropology,"First Semester, 2018",Undergraduate,6,In Person
ANUC1102,Culture and Human Diversity: Introducing Anthropology,"First Semester, 2018",Undergraduate,6,In Person
ANTH2017,"Culture, Social Justice and Aboriginal Society Today","First Semester, 2018",Undergraduate,6,In Person
CRIM2010,Cybercrime: an introduction,"First Semester, 2018",Undergraduate,6,In Person
EMSC4123,Data Analysis,"First Semester, 2018",Undergraduate,3,In Person
BIAN4011,Data Analysis and Methods in Biological Anthropology,"First Semester, 2018",Undergraduate,6,In Person
COMP3425,Data Mining,"First Semester, 2018",Undergraduate,6,In Person
JPNS3102,Debating Japan: Contemporary Intellectual Debates,"First Semester, 2018",Undergraduate,6,In Person
ASIA2070,Democracy in Southeast Asia,"First Semester, 2018",Undergraduate,6,In Person
FINM2002,Derivatives,"First Semester, 2018",Undergraduate,6,In Person
DESN2007,Design Fiction: Speculative and Critical Design,"First Semester, 2018",Undergraduate,6,In Person
DESN3010,"Design Practice: Engagement, Internship and Entrepreneurship","First Semester, 2018",Undergraduate,6,In Person
ECON4409,Development Poverty & Famine,"First Semester, 2018",Undergraduate,6,In Person
ECON2900,Development Poverty and Famine,"First Semester, 2018",Undergraduate,6,In Person
ECON2901,Development Poverty and Famine(H),"First Semester, 2018",Undergraduate,6,In Person
POLS2011,Development and Change,"First Semester, 2018",Undergraduate,6,In Person
PSYC2002,Developmental Psychology,"First Semester, 2018",Undergraduate,6,In Person
LING2023,Dictionaries and Dictionary-Making,"First Semester, 2018",Undergraduate,6,In Person
ASIA3032,Digital Asia: Technology and Society,"First Semester, 2018",Undergraduate,6,In Person
ENGN3226,Digital Communications,"First Semester, 2018",Undergraduate,6,In Person
HUMN1001,Digital Culture: Being Human in the Information Age,"First Semester, 2018",Undergraduate,6,In Person
ANUC1113,Digital Culture: Being Human in the Information Age,"First Semester, 2018",Undergraduate,6,In Person
DESN2001,Digital Form and Fabrication,"First Semester, 2018",Undergraduate,6,In Person
HUMN3001,Digital Humanities: Methods and Practices,"First Semester, 2018",Undergraduate,6,In Person
ENGN3213,Digital Systems and Microprocessors,"First Semester, 2018",Undergraduate,6,In Person
ENGN1211,Discovering Engineering,"First Semester, 2018",Undergraduate,6,In Person
ANUC1005,Discrete Mathematical Models,"First Semester, 2018",Undergraduate,6,In Person
MATH1005,Discrete Mathematical Models,"First Semester, 2018",Undergraduate,6,In Person
ENGN4537,Discrete-Time Signal Processing,"First Semester, 2018",Undergraduate,6,In Person
BUSI2024,Dynamics of Business in the Middle East,"First Semester, 2018",Undergraduate,6,In Person
BUSI2034,Dynamics of European Business,"First Semester, 2018",Undergraduate,6,In Person
EMSC4005,Earth and Marine Sciences Honours Thesis,"First Semester, 2018",Undergraduate,3,In Person
BIOL3109,Ecological and Evolutionary Developmental Biology,"First Semester, 2018",Undergraduate,6,In Person
BIOL2131,Ecology,"First Semester, 2018",Undergraduate,6,In Person
EMET4314,Econometric Methods,"First Semester, 2018",Undergraduate,6,In Person
EMET2007,Econometrics I: Econometric Methods,"First Semester, 2018",Undergraduate,6,In Person
EMET4007,Econometrics I: Econometric Methods,"First Semester, 2018",Undergraduate,6,In Person
PREP1109,Economics,"First Semester, 2018",Undergraduate,6,In Person
ECON4488,Economics Honours Research Essay,"First Semester, 2018",Undergraduate,6,In Person
ENVS2007,Economics for the Environment,"First Semester, 2018",Undergraduate,6,In Person
ASIA3024,"Editor’s practicum: online public engagement, academic blogging and digital disruption","First Semester, 2018",Undergraduate,6,In Person
ENGN2218,Electronic Systems and Design,"First Semester, 2018",Undergraduate,6,In Person
TURK1001,Elementary Turkish A,"First Semester, 2018",Undergraduate,6,In Person
MGMT4019,Empirical Methods in Management,"First Semester, 2018",Undergraduate,6,In Person
ENGN3200,Engineering Internship,"First Semester, 2018",Undergraduate,6,In Person
ENGN3221,Engineering Management,"First Semester, 2018",Undergraduate,6,In Person
ENGN3601,Engineering Materials,"First Semester, 2018",Undergraduate,6,In Person
ENGN3706,Engineering Research & Development Project,"First Semester, 2018",Undergraduate,6,In Person
ENGN4712,Engineering Research and Development Project,"First Semester, 2018",Undergraduate,6,In Person
ENGN3712,Engineering Research and Development Project,"First Semester, 2018",Undergraduate,6,In Person
ENGN4706,Engineering Research and Development Project,"First Semester, 2018",Undergraduate,6,In Person
ENGN4718,Engineering Research and Development Project,"First Semester, 2018",Undergraduate,6,In Person
ENGN2706,Engineering Research and Development Project (Methods),"First Semester, 2018",Undergraduate,6,In Person
ENGN1215,Engineering Sciences,"First Semester, 2018",Undergraduate,6,In Person
LAWS4209,English in a Legal Context,"First Semester, 2018",Undergraduate,0,In Person
ACST4060,Enterprise Risk Management 1,"First Semester, 2018",Undergraduate,6,In Person
INFS4004,Enterprise Systems and Business Process Management,"First Semester, 2018",Undergraduate,6,In Person
ARTV2921,Environment Studio: field based research and studio practice in visual arts,"First Semester, 2018",Undergraduate,6,In Person
PASI2003,Environment and Development in the Pacific,"First Semester, 2018",Undergraduate,6,In Person
ENVS1001,Environment and Society: Geography of Sustainability,"First Semester, 2018",Undergraduate,6,In Person
ENVS3028,Environmental Policy,"First Semester, 2018",Undergraduate,6,In Person
SOCY2022,Environmental Sociology,"First Semester, 2018",Undergraduate,6,In Person
ESEN1101,Essential University English,"First Semester, 2018",Undergraduate,6,In Person
HIST2205,"Europe and the Atlantic World, c.1492–1776.","First Semester, 2018",Undergraduate,6,In Person
BIOL3131,Evolutionary and Behavioural Ecology,"First Semester, 2018",Undergraduate,6,In Person
CBEA5922,ExchExchange Program ANU College of Business and Economics - Band 3,"First Semester, 2018",Undergraduate,6,In Person
CBEA5920,Exchange Program ANU College of Business and Economics - Band 2,"First Semester, 2018",Undergraduate,6,In Person
ARTS5920,Exchange Program for Arts Students,"First Semester, 2018",Undergraduate,6,In Person
LAWS5920,Exchange Program for Law Students,"First Semester, 2018",Undergraduate,6,In Person
SCNC5921,Exchange Program for Science Students (Band 1),"First Semester, 2018",Undergraduate,6,In Person
SCNC5920,Exchange Program for Science Students (Band 2),"First Semester, 2018",Undergraduate,6,In Person
COMP5920,Exchange Program in Computer Science,"First Semester, 2018",Undergraduate,6,In Person
ENGN5920,Exchange Program in Engineering,"First Semester, 2018",Undergraduate,6,In Person
CBEA5921,Exchange – ANU College of Business and Economics _ Bachelor of Social Sciences (Honours),"First Semester, 2018",Undergraduate,6,In Person
HIST2231,Exploration: Columbus to the Moon,"First Semester, 2018",Undergraduate,6,In Person
PHYS3060,Fibre Optic Communication Systems,"First Semester, 2018",Undergraduate,6,In Person
ENGN4513,Fibre Optics Communications Systems,"First Semester, 2018",Undergraduate,6,In Person
BIOL3132,Field Studies in Behavioural Ecology,"First Semester, 2018",Undergraduate,6,In Person
ARTV1020,Figure & Life,"First Semester, 2018",Undergraduate,6,In Person
HONS4602,Final Honours Grade,"First Semester, 2018",Undergraduate,0,In Person
HONS4100,Final Honours Grade,"First Semester, 2018",Undergraduate,0,In Person
HONS4601,Final Honours Grade,"First Semester, 2018",Undergraduate,0,In Person
FINM4500,Finance Honours Thesis,"First Semester, 2018",Undergraduate,6,In Person
FINM3006,Financial Intermediation and Debt Markets,"First Semester, 2018",Undergraduate,6,In Person
STAT2032,Financial Mathematics,"First Semester, 2018",Undergraduate,6,In Person
BUSN3008,Financial Reporting By Corporations,"First Semester, 2018",Undergraduate,6,In Person
BUSN2036,Financial Statement Analysis,"First Semester, 2018",Undergraduate,6,In Person
ENGN3224,Fluid Mechanics and Heat Transfer,"First Semester, 2018",Undergraduate,6,In Person
POLS3001,Foreign Policy Analysis,"First Semester, 2018",Undergraduate,6,In Person
LAWS1201,Foundations of Australian Law,"First Semester, 2018",Undergraduate,6,In Person
DESN2002,Foundations of Creative Code,"First Semester, 2018",Undergraduate,6,In Person
EMET1001,Foundations of Economic and Financial Models,"First Semester, 2018",Undergraduate,6,In Person
FINM1001,Foundations of Finance,"First Semester, 2018",Undergraduate,6,In Person
MEDI3005,Foundations of Medicine,"First Semester, 2018",Undergraduate,18,In Person
CHEM2212,Foundations of Physical Chemistry,"First Semester, 2018",Undergraduate,6,In Person
PHYS1001,Foundations of Physics,"First Semester, 2018",Undergraduate,6,In Person
MATH3062,Fractal Geometry and Chaotic Dynamics,"First Semester, 2018",Undergraduate,6,In Person
ARCH4004,Frameworks for Archaeological Science,"First Semester, 2018",Undergraduate,6,In Person
ASTR4007,From Stars to Galaxies,"First Semester, 2018",Undergraduate,6,In Person
ASTR3007,From Stars to Galaxies,"First Semester, 2018",Undergraduate,6,In Person
PHIL1004,Fundamental Ideas in Philosophy: An Introduction,"First Semester, 2018",Undergraduate,6,In Person
POPH4100,Fundamentals of Epidemiology,"First Semester, 2018",Undergraduate,6,In Person
ASIA4001,"Fundamentals of Research Design in Asia-Pacific Culture, History and Languages","First Semester, 2018",Undergraduate,12,In Person
STST4001,"Fundamentals of Research Design in Asia-Pacific International, Political and Security Studies","First Semester, 2018",Undergraduate,12,In Person
DESA2208,Furniture Design: Cabinet Design and Construction,"First Semester, 2018",Undergraduate,6,In Person
DESA2209,Furniture Design: Containers,"First Semester, 2018",Undergraduate,6,In Person
ARTV2209,Furniture: Collect/Treasure,"First Semester, 2018",Undergraduate,6,In Person
ARTV2208,Furniture: Contain/Display,"First Semester, 2018",Undergraduate,6,In Person
ARTV1201,Furniture: Shape/Structure,"First Semester, 2018",Undergraduate,6,In Person
MEAS3001,Gallipoli: History and National Imagination,"First Semester, 2018",Undergraduate,6,In Person
GEND2035,Gender in Cross-Cultural Perspective,"First Semester, 2018",Undergraduate,6,In Person
